,Mean_temp (K),datetime
360,262.78559602105474,2019-04-10 12:00:00
361,246.97395089127738,2019-04-10 12:10:00
362,231.63594924231208,2019-04-10 12:20:00
363,227.67379780621968,2019-04-10 12:30:00
364,228.42058753318375,2019-04-10 12:40:00
365,219.4446074135406,2019-04-10 12:50:00
366,219.65085490299012,2019-04-10 13:00:00
367,219.24252887611317,2019-04-10 13:10:00
368,221.51759270776105,2019-04-10 13:20:00
369,221.990326039235,2019-04-10 13:30:00
370,222.80340674033025,2019-04-10 13:40:00
371,228.0907406615752,2019-04-10 13:50:00
372,234.48481569073815,2019-04-10 14:00:00
373,241.23391386908108,2019-04-10 14:10:00
374,243.9309349905624,2019-04-10 14:20:00
375,240.139878739818,2019-04-10 14:30:00
376,237.87607033349175,2019-04-10 14:40:00
377,238.1511423188577,2019-04-10 14:50:00
378,238.3639566782653,2019-04-10 15:00:00
379,238.6613309402314,2019-04-10 15:10:00
380,238.75824903711933,2019-04-10 15:20:00
381,238.8387334307129,2019-04-10 15:30:00
382,239.11583770699716,2019-04-10 15:40:00
383,239.31075412018825,2019-04-10 15:50:00
384,239.5156288097397,2019-04-10 16:00:00
385,239.6304113321241,2019-04-10 16:10:00
386,239.763987099048,2019-04-10 16:20:00
387,239.881676777852,2019-04-10 16:30:00
388,240.02991662224815,2019-04-10 16:40:00
389,240.29195587677802,2019-04-10 16:50:00
390,240.55473681604667,2019-04-10 17:00:00
391,240.76871814248662,2019-04-10 17:10:00
392,240.8950400320392,2019-04-10 17:20:00
393,240.97398344780223,2019-04-10 17:30:00
394,241.03689205279315,2019-04-10 17:40:00
395,241.07918877806483,2019-04-10 17:50:00
396,241.10588238123958,2019-04-10 18:00:00
397,241.13638846921458,2019-04-10 18:10:00
398,241.1636885217096,2019-04-10 18:20:00
399,241.20352821274892,2019-04-10 18:30:00
400,241.23890489663694,2019-04-10 18:40:00
401,241.2552871386888,2019-04-10 18:50:00
402,241.32831083420055,2019-04-10 19:00:00
403,241.36387979306954,2019-04-10 19:10:00
404,241.39439713671086,2019-04-10 19:20:00
405,241.42638771661083,2019-04-10 19:30:00
406,241.45894537110595,2019-04-10 19:40:00
407,241.49896494532715,2019-04-10 19:50:00
408,241.53459867944068,2019-04-10 20:00:00
409,241.5711351196726,2019-04-10 20:10:00
410,241.61143096475945,2019-04-10 20:20:00
411,241.6540685774012,2019-04-10 20:30:00
412,241.69762749225842,2019-04-10 20:40:00
413,241.7382162473884,2019-04-10 20:50:00
414,241.7684070829501,2019-04-10 21:00:00
415,241.69577586198082,2019-04-10 21:10:00
416,241.73489582113532,2019-04-10 21:20:00
417,241.7749084715856,2019-04-10 21:30:00
418,241.8182131546469,2019-04-10 21:40:00
419,241.8635815290319,2019-04-10 21:50:00
420,241.90549004426398,2019-04-10 22:00:00
421,241.95424821356968,2019-04-10 22:10:00
422,241.9991354377147,2019-04-10 22:20:00
423,242.0458851548978,2019-04-10 22:30:00
424,242.1060712074777,2019-04-10 22:40:00
425,242.13194261007905,2019-04-10 22:50:00
426,242.18157379731304,2019-04-10 23:00:00
427,242.22296199652638,2019-04-10 23:10:00
428,242.27404018501878,2019-04-10 23:20:00
429,242.32182815236504,2019-04-10 23:30:00
430,242.35839541015167,2019-04-10 23:40:00
431,242.41396182213882,2019-04-10 23:50:00
432,242.44945582960952,2019-04-11 00:00:00
433,242.49326633850282,2019-04-11 00:10:00
434,242.53843360033264,2019-04-11 00:20:00
435,242.5773976314446,2019-04-11 00:30:00
436,242.62823004957264,2019-04-11 00:40:00
437,242.66261174388472,2019-04-11 00:50:00
438,242.70942478419377,2019-04-11 01:00:00
439,242.74477061886398,2019-04-11 01:10:00
440,242.8028408308432,2019-04-11 01:20:00
441,242.81857519631177,2019-04-11 01:30:00
442,242.8541420472059,2019-04-11 01:40:00
443,242.88505859385825,2019-04-11 01:50:00
444,242.922363319745,2019-04-11 02:00:00
445,242.9532557271836,2019-04-11 02:10:00
446,242.98869321134384,2019-04-11 02:20:00
447,243.01491365195167,2019-04-11 02:30:00
448,243.05293131675117,2019-04-11 02:40:00
449,243.08742501294338,2019-04-11 02:50:00
450,243.1180372124976,2019-04-11 03:00:00
451,243.14857385587845,2019-04-11 03:10:00
452,243.1781558310139,2019-04-11 03:20:00
453,243.21013489709358,2019-04-11 03:30:00
454,243.24505565975812,2019-04-11 03:40:00
455,243.2852500437286,2019-04-11 03:50:00
456,243.31550706185268,2019-04-11 04:00:00
457,243.36300518239096,2019-04-11 04:10:00
458,243.39539148509374,2019-04-11 04:20:00
459,243.42836852635259,2019-04-11 04:30:00
460,243.46053960674772,2019-04-11 04:40:00
461,243.4989977399499,2019-04-11 04:50:00
462,243.5306796118333,2019-04-11 05:00:00
463,243.56739452936102,2019-04-11 05:10:00
464,243.58452264838886,2019-04-11 05:20:00
465,243.60662331000407,2019-04-11 05:30:00
466,243.62841528738355,2019-04-11 05:40:00
467,243.64309888776657,2019-04-11 05:50:00
468,243.65022964294894,2019-04-11 06:00:00
469,243.66030214536755,2019-04-11 06:10:00
470,243.6737758941502,2019-04-11 06:20:00
471,243.6808163585194,2019-04-11 06:30:00
472,243.69743495562832,2019-04-11 06:40:00
473,243.71547713506595,2019-04-11 06:50:00
474,243.72666711744262,2019-04-11 07:00:00
475,243.75111406702203,2019-04-11 07:10:00
476,243.7657676856947,2019-04-11 07:20:00
477,243.7870523409545,2019-04-11 07:30:00
478,243.80203707027013,2019-04-11 07:40:00
479,243.82059860461143,2019-04-11 07:50:00
480,243.84859522985408,2019-04-11 08:00:00
481,243.87184631197053,2019-04-11 08:10:00
482,243.8892667423799,2019-04-11 08:20:00
483,243.91000310941345,2019-04-11 08:30:00
484,243.92425783922081,2019-04-11 08:40:00
485,243.94254725190328,2019-04-11 08:50:00
486,243.93664700182583,2019-04-11 09:00:00
487,244.03981130359557,2019-04-11 09:10:00
488,244.06885193884884,2019-04-11 09:20:00
489,244.07342549188164,2019-04-11 09:30:00
490,244.08293718474616,2019-04-11 09:40:00
491,244.10224692844744,2019-04-11 09:50:00
492,244.18492816948455,2019-04-11 10:00:00
493,244.63738142111163,2019-04-11 10:10:00
494,244.9655433657046,2019-04-11 10:20:00
495,245.46413515833598,2019-04-11 10:30:00
496,245.85442244625168,2019-04-11 10:40:00
497,246.2866358624332,2019-04-11 10:50:00
498,247.06576868059548,2019-04-11 11:00:00
499,247.83868269866988,2019-04-11 11:10:00
500,248.64001828911117,2019-04-11 11:20:00
501,249.3867624677996,2019-04-11 11:30:00
502,268.4727484540088,2019-04-11 11:40:00
503,228.22977599318824,2019-04-11 11:50:00
504,229.48703185234757,2019-04-11 12:00:00
505,207.5570679444533,2019-04-11 12:10:00
506,205.73160618487609,2019-04-11 12:20:00
507,205.81721552779723,2019-04-11 12:30:00
508,206.42379622845763,2019-04-11 12:40:00
509,206.34519186861516,2019-04-11 12:50:00
510,206.00545284092055,2019-04-11 13:00:00
511,205.86902231901195,2019-04-11 13:10:00
512,205.49317052445912,2019-04-11 13:20:00
513,205.59973595546447,2019-04-11 13:30:00
514,206.99676910543843,2019-04-11 13:40:00
515,205.88780909035015,2019-04-11 13:50:00
516,207.9105881321777,2019-04-11 14:00:00
517,206.0153858986771,2019-04-11 14:10:00
518,217.0271749466977,2019-04-11 14:20:00
