Time (DDDHHmm),Mean_temp (K)
1030650,243.04107330934596
1030700,243.00715003747325
1030710,242.9720591737146
1030720,242.94009254218506
1030730,242.9081768809717
1030740,242.86772925290217
1030750,242.83140806156808
1030800,242.79839587449595
1030810,242.76534420686798
1030820,242.72929745147655
1030830,242.68715033230072
1030840,242.65002006473733
1030850,242.61608074533802
1030900,242.58085052124704
1030910,242.55428555508496
1030920,242.5295143494752
1030930,242.50478016351173
1030940,242.47969468304498
1030950,242.44491831543914
1031000,242.4159910322198
1031010,242.3908637666556
1031020,242.36948619549074
1031030,242.34641658950662
1031040,242.3293394283316
1031050,242.3066280915284
1031100,242.28652912916357
1031110,242.26779577705412
1031120,242.25179070388322
1031130,242.2384528695711
1031140,242.22398591340885
1031150,242.20464607690013
1031200,242.19194508582595
1031210,242.1889676916002
1031220,242.17642194496136
1031230,242.16811431528183
1031240,242.16185973412368
1031250,242.1547774460872
1031300,242.15081469524102
1031310,242.14755456695877
1031320,242.1426315361645
1031330,242.1461508397708
1031340,242.151636306573
1031350,242.1570815936502
1031400,242.1659442538444
1031410,242.17319688291303
1031420,242.1751464375293
1031430,242.1759273512574
1031440,242.17131777715213
1031450,242.18226684154266
1031500,242.190306555099
1031510,242.18563913602716
1031520,242.18702206341464
1031530,242.19200760781138
1031540,242.18191792458782
1031550,242.18132425830626
1031600,242.17940276927519
1031610,242.1789601747454
1031620,242.17786674586728
1031630,242.17343894060815
1031640,242.16457832290445
1031650,242.15932096786457
1031700,242.13555832361
1031710,242.13755895411177
1031720,242.14496034465552
1031730,242.14829286111353
1031740,242.15850165692993
1031750,242.16804145586644
1031800,242.17401936988077
1031810,242.18683193805842
1031820,242.1925390521974
1031830,242.21304117744728
1031840,242.2225822898618
1031850,242.22723182566384
1031900,242.22607847789644
1031910,242.2176051387202
1031920,242.20284235005997
1031930,242.1891734646844
1031940,242.1778042659354
1031950,242.16759129436653
1032000,242.152793377012
1032010,242.1408695066479
1032020,242.12589302570328
1032030,242.1120353311711
1032040,242.09232891978795
1032050,242.07780931963805
1032100,242.05789166259405
1032110,242.0469166700396
1032120,242.03464679275575
1032130,242.02772099666717
1032140,242.01734304390953
1032150,242.0054467555231
1032200,241.99401139441585
1032210,241.97828053396628
1032220,241.95724366255558
1032230,241.94951156155224
1032240,241.9347841541781
1032250,241.92299886622072
1032300,241.9061209864389
1032310,241.89686898381703
1032320,241.88983957441798
1032330,241.87951931935618
1032340,241.87499489882154
1032350,241.8675444360937
1040000,241.86084025680418
1040010,241.85267964511513
1040020,241.84518585898635
1040030,241.839777338106
1040040,241.82057056399665
1040050,241.80436310325325
1040100,241.79064708580847
1040110,241.7815378633462
